customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3047-DDDDD,Female,1,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.0,1078.0,No
3747-CCCCC,Male,0,Yes,No,14,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,45.73,640.22,No
2899-DDDDD,Male,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),93.15,1397.25,No
2528-CCCCC,Female,0,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.47,603.57,No
4556-CCCCC,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),86.61,86.61,No
9838-EEEEE,Male,0,Yes,No,54,Yes,No,DSL,No,No,Yes,No,No,No,Two year,No,Electronic check,76.03,4105.62,No
6393-DDDDD,Female,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,115.18,345.54,Yes
9792-DDDDD,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.51,296.16,No
9433-BBBBB,Male,0,No,Yes,57,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),95.64,5451.48,No
8513-EEEEE,Female,1,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,112.36,1348.32,No
8041-DDDDD,Female,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.58,297.28,No
7235-DDDDD,Male,1,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),77.98,5614.56,No
1775-CCCCC,Female,0,Yes,No,24,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,59.31,1423.44,No
4152-DDDDD,Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),85.46,2392.88,Yes
2585-DDDDD,Male,0,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.84,198.72,No
4073-BBBBB,Male,1,No,No,36,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,79.64,2867.04,No
4843-EEEEE,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),103.27,826.16,No
7873-DDDDD,Female,0,Yes,No,58,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),109.43,6346.94,No
1161-BBBBB,Male,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,71.98,4318.8,No
1995-DDDDD,Male,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,102.18,5109.0,No
2016-EEEEE,Male,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.66,690.48,No
7863-EEEEE,Male,0,No,Yes,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,75.96,3114.36,Yes
9529-EEEEE,Female,0,No,Yes,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.02,7233.28,No
5887-BBBBB,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,98.55,2660.85,No
5859-DDDDD,Male,1,No,No,63,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,99.6,6274.8,No
9571-EEEEE,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),99.42,1690.14,No
8208-EEEEE,Male,0,No,No,33,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),84.34,2783.22,No
3062-EEEEE,Female,0,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,114.89,3331.81,No
1064-AAAAA,Male,0,No,No,13,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,82.89,1077.57,Yes
9006-AAAAA,Male,0,Yes,No,46,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),70.01,3220.46,No
6463-AAAAA,Male,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),107.6,3766.0,No
3027-CCCCC,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,99.39,596.34,Yes
6618-AAAAA,Female,1,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),93.25,6434.25,No
1391-CCCCC,Male,0,No,No,47,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),101.72,4780.84,No
6892-BBBBB,Female,0,No,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),96.54,2413.5,No
7184-DDDDD,Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),68.9,4547.4,Yes
7278-AAAAA,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.49,234.9,No
4104-EEEEE,Female,0,No,No,56,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),93.08,5212.48,No
3731-CCCCC,Female,0,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,71.96,2158.8,No
6056-CCCCC,Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,77.87,389.35,No
9110-CCCCC,Male,0,Yes,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.07,695.31,No
4840-EEEEE,Male,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,104.79,6811.35,No
8385-CCCCC,Female,0,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,98.48,1772.64,No
5488-BBBBB,Male,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),101.21,4959.29,No
8721-DDDDD,Male,0,Yes,No,11,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),64.17,705.87,No
2484-CCCCC,Male,0,No,No,26,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),69.63,1810.38,No
1863-AAAAA,Male,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,85.79,5404.77,No
9755-EEEEE,Female,1,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Mailed check,92.57,5461.63,No
7019-EEEEE,Male,0,No,No,27,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),105.73,2854.71,No
8574-EEEEE,Male,0,No,No,49,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),79.87,3913.63,No
2678-CCCCC,Female,0,Yes,No,33,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),90.82,2997.06,No
5636-DDDDD,Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,72.1,72.1,Yes
7668-CCCCC,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),77.76,1632.96,No
4157-DDDDD,Male,0,Yes,No,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.0,3905.0,No
3693-DDDDD,Male,1,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.36,608.16,No
4627-DDDDD,Male,1,No,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),85.95,5930.55,No
6450-BBBBB,Male,1,No,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),96.04,480.2,No
6592-AAAAA,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,93.68,281.04,No
2306-AAAAA,Female,0,Yes,No,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),73.91,3917.23,No
6864-CCCCC,Male,0,No,No,23,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),61.13,1405.99,No
8526-CCCCC,Male,0,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,80.59,4271.27,Yes
5413-EEEEE,Female,0,No,Yes,37,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),90.08,3332.96,Yes
1663-CCCCC,Female,1,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,79.77,1356.09,No
2495-AAAAA,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,110.34,110.34,No
4763-AAAAA,Female,1,Yes,No,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.22,980.22,Yes
2853-AAAAA,Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.73,1112.85,No
7585-DDDDD,Male,1,No,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,89.96,359.84,No
2291-BBBBB,Male,0,No,No,62,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,78.85,4888.7,Yes
8554-AAAAA,Male,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),100.18,6511.7,No
2636-AAAAA,Male,0,Yes,Yes,32,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),74.41,2381.12,No
1698-AAAAA,Male,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),106.85,3632.9,Yes
5737-DDDDD,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.53,1550.16,No
1854-EEEEE,Male,1,Yes,Yes,39,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,66.73,2602.47,No
6855-AAAAA,Female,0,Yes,No,26,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),65.56,1704.56,No
7528-CCCCC,Female,0,Yes,No,34,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,68.52,2329.68,Yes
6249-EEEEE,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Credit card (automatic),71.41,3856.14,Yes
2707-BBBBB,Female,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),88.98,266.94,Yes
6791-DDDDD,Male,0,No,No,50,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,69.25,3462.5,No
4510-CCCCC,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.18,266.16,Yes
5218-AAAAA,Male,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,108.06,7023.9,Yes
9958-EEEEE,Female,0,Yes,Yes,54,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,71.2,3844.8,No
3931-BBBBB,Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,117.62,588.1,Yes
1197-CCCCC,Male,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),83.63,4766.91,Yes
7287-AAAAA,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),87.24,1483.08,No
5282-EEEEE,Male,1,No,No,47,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.35,2836.45,No
